website,date of discovery or report,city,STATE,source,reported phenomenon other than swastika,reported phenomenon other than swastika 2,reported phenomenon other than swastika 3,accompanying text,accompanying visual signs,Nazi Reference,media,locations,site of documented incident,structure,url_to_jpg,target,target,Trump Supporter,culprit, ,notes,Actor 1,Move 1,"Actor 1
Move 1",Actor 2,Move 2,"Actor 2
Move 2",Actor 3,Move 3,"Actor 3
Move 3",Actor 4,Move 4,"Actor 4
Move 4",Number of Moves,Classification of Incident,reported phenomenon broad classification,combined moves,combined actors,combined targets,Trump Mention,Police Involvement,Police Move,Religious Leader Involvement,Letters/Statements Issued,Clean Up/Cover Up,Clean Up/Cover Up Actor,suspension/denial of access to space,Other Move,Other Actor,Policy/Committee/System Created,Gathering/Protest/Vigil/Demonstration Held,Victim Support,Support Metagenre,Silence Metagenre
https://badgerherald.com/news/2016/02/18/uw-officials-respond-to-swastika-bias-incident-in-campus-dorm/,2/18/2016,Madison,WI,Student Newspaper,bias-incident,,,,Hitler,Yes,ink,student housing,college,interior door,http://badgerherald.com/media/2016/02/Screen-Shot-2016-02-18-at-5.34.17-PM-648x479.png,Jewish Community,,FALSE,student,"Authorities dealt with it through the school's Code of Conduct. Immediately after the swastika incident, UW-Madison officials sent an email to all Sellery residents explaining the behavior was unacceptable. The letter also contained information about ways students may report instances in which they feel targeted because of their identity and information on a forum where students can ask questions and voice their frustrations.",,school administration,letters/statements,"school administration
letters/statements",school administration,policy/committee/system creation,"school administration
policy/committee/system creation",school administration,victim support,"school administration
victim support",,,"
",3,Incident,other,"letters/statements, policy/committee/system creation, victim support","school administration, school administration, school administration",Jewish Community,FALSE,FALSE,no involvement,FALSE,TRUE,FALSE,None,FALSE,FALSE,None,TRUE,FALSE,TRUE,TRUE,FALSE
https://calcoastnews.com/2016/03/swastikas-racial-slurs-scribbled-on-cal-poly-apartment/,2/23/2016,San Luis Obispo,CA,Local News,racial-vandalism,,,"I-love-N******, Clean-the-Trash, I'm-a-F**",Hammer and sickle,No,ink,student housing,college,interior door,https://calcoastnews.com/images/2016/03/Poly-Apartment-1024x735.jpg,Non-White Community,,FALSE,male student,Police investigation and request for help from the community to identify individuals. Email support for student by students and staff.,Video interview: https://youtu.be/T4UC-19130k,police/sheriff,other,"police/sheriff
other",school administration,victim support,"school administration
victim support",,,"
",,,"
",2,Vandalism,vandalism,"other, victim support","police/sheriff, school administration",Non-White Community,FALSE,TRUE,other,FALSE,FALSE,FALSE,None,FALSE,TRUE,police/sheriff,FALSE,FALSE,TRUE,TRUE,TRUE
http://newton.wickedlocal.com/news/20160225/officials-reviewing-protocols-after-two-antisemitic-incidents-at-newtons-day-middle-school,2/25/2016,Newtonville,MA,Local News,antisemitic-incident,hate-crime,hateful-graffiti,,,no,ink,middle school,K-12,bathroom,,,,FALSE,,"The principal of the school will be hosting a community forum March 9 at 7 p.m. in the Day school library, and plans to devote his next “Parent-Principal Coffee” event on March 11 to the subject.",reported with one above,school administration,gathering/protest/vigil/demonstration,"school administration
gathering/protest/vigil/demonstration",school administration,policy/committee/system creation,"school administration
policy/committee/system creation",,,"
",,,"
",2,Incident,graffiti,"gathering/protest/vigil/demonstration, policy/committee/system creation","school administration, school administration",,FALSE,FALSE,no involvement,FALSE,FALSE,FALSE,None,FALSE,FALSE,None,TRUE,TRUE,FALSE,TRUE,FALSE
http://newton.wickedlocal.com/news/20160225/officials-reviewing-protocols-after-two-antisemitic-incidents-at-newtons-day-middle-school,2/25/2016,Newtonville,MA,Local News,antisemitic-incident,hate-crime,,,,No,snow,middle school,K-12,ground,,,,FALSE,,"The principal of the school will be hosting a community forum March 9 at 7 p.m. in the Day school library, and plans to devote his next “Parent-Principal Coffee” event on March 11 to the subject.",reported with one below,school administration,gathering/protest/vigil/demonstration,"school administration
gathering/protest/vigil/demonstration",school administration,policy/committee/system creation,"school administration
policy/committee/system creation",,,"
",,,"
",2,Incident,antisemitic-incident,"gathering/protest/vigil/demonstration, policy/committee/system creation","school administration, school administration",,FALSE,FALSE,no involvement,FALSE,FALSE,FALSE,None,FALSE,FALSE,None,TRUE,TRUE,FALSE,TRUE,FALSE
https://thehill.com/blogs/ballot-box/271287-trump-swastika-sign-reported-in-houston,3/1/2016,Houston,TX,National News,none,,,Stop-Trump,,No,ink,polling location,public space,poster,http://thehill.com/sites/default/files/styles/thumb_small_article/public/blogs/trumpswastika1.jpg?itok=cv_xPsSR,,,TRUE,,,This was marshalled as a protest against Trump not supportive.,community members,gathering/protest/vigil/demonstration,"community members
gathering/protest/vigil/demonstration",,,"
",,,"
",,,"
",1,Other,none,gathering/protest/vigil/demonstration,gathering/protest/vigil/demonstration,,TRUE,FALSE,no involvement,FALSE,FALSE,FALSE,None,FALSE,FALSE,None,FALSE,TRUE,FALSE,TRUE,FALSE
https://fox13now.com/2016/03/03/swastikas-in-sugar-house-posters-against-trump-offending-residents/,3/3/2016,Salt Lake City,NV,Local News,political-activism,,,"Stop-Trump, #-Donald-Chump",,No,ink,urban street,public space,exterior urban wall,http://static-32.sinclairstoryline.com/resources/media/f4ad0298-0f2f-4abd-b87b-c38f16d27fcb-medium36x25_Trump1.JPG,,,TRUE,,posters removed or defaced,This was marshalled as a protest against Trump not supportive.,community members,gathering/protest/vigil/demonstration,"community members
gathering/protest/vigil/demonstration",,,"
",,,"
",,,"
",1,Other,other,gathering/protest/vigil/demonstration,gathering/protest/vigil/demonstration,,TRUE,FALSE,no involvement,FALSE,FALSE,FALSE,None,FALSE,FALSE,None,FALSE,TRUE,FALSE,TRUE,FALSE
https://fox59.com/news/swastikas-found-at-uindy-purdue-university/,3/4/2016,Indianapolis,IA,Local News,vandalism,,,,,No,ink,academic building,college,white board,,Jewish Community,,FALSE,,"Letter issued by the associate dean for the whiteboard incident. Text of letter: Dear Colleagues, Yesterday, several of our colleagues came to the office to be confronted by a swastika and antisemitic slur written on a whiteboard in the American Studies Program. This type of hateful expression is repulsive and outside of the bounds of civil discourse. It has no place in the College of Liberal Arts and Purdue University. I know firsthand the human cost of virulent hate. Many in my family died during the horrors of World War II. The College of Liberal Arts and Purdue University are committed to free and open inquiry, while embracing and respecting our differences. I ask that we re-double our efforts to ensure we live up to our commitment to each other and to this university by engaging in meaningful dialogue, analysis, criticism and creative activity.",accompanied by antisemitic slur found between 3:30pm March 4th and 7:30am March 7th.,school administration,letters/statements,"school administration
letters/statements",,,"
",,,"
",,,"
",1,Vandalism,vandalism,letters/statements,letters/statements,Jewish Community,FALSE,FALSE,no involvement,FALSE,TRUE,FALSE,None,FALSE,FALSE,None,FALSE,FALSE,FALSE,FALSE,FALSE
http://fox59.com/2016/03/08/swastikas-found-at-uindy-purdue-university/,3/8/2016,Indianapolis,IA,Local News,vandalism,,,,,No,stone,student center,college,monument,,,,FALSE,,"Letter issued by university president for the statue being defaced. Text of letter: Dear UIndy Students: Respect, faith, empiricism, and the celebration of intellectual and human diversity create the core traditions of the University of Indianapolis. During the past three years, our community has discussed the themes of race and ethnicity, religious freedom and liberties, social justice and human rights – areas profoundly impacting our nation and most recently, the public policies of our state. As our colleagues at Purdue, IU, Cornell, University of Missouri, Yale, and many other institutions around the country engage these questions, we are all reminded how these debates are central to understanding the role that higher education plays in the construction of a civil and educated society. I am proud of our tradition of respectfully and openly engaging in discussions about the most critical issues of our time. We have engaged questions of same-sex marriage, our students recently debated the questions of the Israeli and Palestinian conflict and human rights, and we have been in ongoing conversations about race and culture with all of our members. In direct contrast to our efforts to celebrate our diversity, I was recently made aware that someone scratched a swastika on the bust of Au Ho-nien, located in Schwitzer Student Center. The incident is currently under investigation. Such an act is against every core value on which our University stands; yet it reminds us we are not immune to intolerance and hate. UIndy has not and will never tolerate such behavior. Our University community is created by and comprised of people from many different views, experiences, cultures and beliefs. We are a great institution of higher education because of our diversity – and must do everything we can to continue to value this reality. Later this week I will receive the outcomes of our second campus climate survey as well as recommendations from the Diversity and Inclusion Task Force. For the past six months, I have also been in conversations with our University Planning Commission and student groups around campus. Having been privileged to see a preview of these findings, I am empowering our university leadership to accelerate the implementation of many of the recommendations from these groups – most prominently, the creation of a position at UIndy to engage questions of diversity and inclusion on campus. I am proud of our University’s longstanding tradition of engaging conversations about difficult societal issues and creating change. This is a moment for UIndy to continue its work in this area, and I am confident that together we are prepared for this challenge.",,school administration,letters/statements,"school administration
letters/statements",school administration,policy/committee/system creation,"school administration
policy/committee/system creation",,,"
",,,"
",2,Vandalism,vandalism,"letters/statements, policy/committee/system creation","school administration, school administration",,FALSE,FALSE,no involvement,FALSE,TRUE,FALSE,None,FALSE,FALSE,None,TRUE,FALSE,FALSE,TRUE,FALSE
http://newyork.cbslocal.com/2016/03/08/cedarhurst-swastikas/,3/8/2016,Cedarhurst,NY,Local News,symbol-of-hate,,,,,No,chalk,private property,private property,sidewalk,,Jewish Community,,FALSE,,Rockaway Nassau Safety Patrol has increased its patrols. Assemblyman Kaminsky scrubbed the chalk swastika off the sidewalk.,believed to be children,police/sheriff,other,"police/sheriff
other",mayor/council member,clean up/cover up,"mayor/council member
clean up/cover up",,,"
",,,"
",2,Symbol,other,"other, clean up/cover up","police/sheriff, mayor/council member",Jewish Community,FALSE,TRUE,other,FALSE,FALSE,TRUE,mayor/council member,FALSE,TRUE,police/sheriff,FALSE,FALSE,FALSE,FALSE,TRUE
http://www.nydailynews.com/news/national/northwestern-freshmen-paint-slurs-trump-chapel-article-1.2563021,3/11/2016,Chicago,IL,National News,graffiti,vandalism,,Trump,male genitalia,No,paint,chapel,college,interior wall,,LGBTQ Community,,FALSE,white male,"prosecution $50,000 bail for charges of criminal damage to property, institutional vandalism and hate crime in a place of worship ""It's disturbing to think that someone who's been in this space would be venting some sort of rage that way,"" university chaplain Tim Stevens, who said he discovered the defacement, told the Daily News on Sunday.","Both attended Northwestern University, and that is how they were identified. Pictured here: https://www.nydailynews.com/resizer/2b2EGT6Lct2uo1v0_konS-xN3jA=/800x491/top/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/74AKBGB2S75QTZQ2UCR63FJO6Q.jpg",police/sheriff,suspension/denial of access to space,"police/sheriff
suspension/denial of access to space",religious leaders,letters/statements,"religious leaders
letters/statements",,,"
",,,"
",2,Graffiti,vandalism,"suspension/denial of access to space, letters/statements","police/sheriff, religious leaders",LGBTQ Community,TRUE,TRUE,suspension/denial of access to space,TRUE,TRUE,FALSE,None,TRUE,FALSE,None,FALSE,FALSE,FALSE,FALSE,TRUE
